tag,label,section,source_rule,clinical_reviewer,qbc_reviewer,decision,review_date,notes
D010,(新輔助) 遠端轉移部位：其他,新輔助－術前診斷,※「D009」為[12:其他]，此欄位為必填。 內容自訂，文字格式,,,pending,,
D011,(新輔助) 術前腋下淋巴檢驗：未檢驗,新輔助－術前診斷,※與術前腋下淋巴檢驗：檢驗方式「D012」擇一填寫 ※ 若此欄位有填寫，則不需填寫「D012」、「D013」 1：未檢驗,,,pending,,
D012,(新輔助) 術前腋下淋巴檢驗：檢驗方式,新輔助－術前診斷,※與術前腋下淋巴檢驗：未檢驗「D011」擇一填寫 1：細針穿刺 2：粗針切片,,,pending,,
D013,(新輔助) 術前腋下淋巴檢驗：檢驗結果,新輔助－術前診斷,※「D012」有值時，才需填寫。 0：陰性 1：陽性,,,pending,,
D014,(新輔助) ER,新輔助－術前診斷,X：未檢驗 0：陰性 1：陽性,,,pending,,
D015,(新輔助) ER 數值,新輔助－術前診斷,※「D014」為[1:陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D016,(新輔助) PR,新輔助－術前診斷,X：未檢驗 0：陰性 1：陽性,,,pending,,
D017,(新輔助) PR 數值,新輔助－術前診斷,※「D016」為[1:陽性]時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D018,(新輔助) HER2,新輔助－術前診斷,X：未檢驗 0：IHC 0 (negative or score 0) 1：IHC 1+(negative or score 1+) 2：IHC 2+(equivocal or score 2+) 3：IHC 3+(positive or score 3+),,,pending,,
D019,(新輔助) HER2 FISH,新輔助－術前診斷,※「D018」為[2：IHC 2+(equivocal or score 2+)]時，才需填寫。 0：negative 1：positive,,,pending,,
D020,(新輔助) Ki-67,新輔助－術前診斷,0：未檢驗 1：有檢驗,,,pending,,
D021,(新輔助) Ki-67 數值,新輔助－術前診斷,※「D020」為[1：有檢驗]時，才需填寫。 填入範圍值：01-100 整數百分比(%),,,pending,,
D022,(新輔助) BRCA 1/2,新輔助－術前診斷,X：未檢驗 0：無突變 1：有突變,,,pending,,
D023,(新輔助) PD-L1,新輔助－術前診斷,X：未檢驗 0：陰性 1：陽性,,,pending,,
