tag,label,section,required_marker,always_required,source_format,max_length,data_type,allowed_values,multi_select,minimum,maximum,required_when,rule_ids,source_rule
D001,(新輔助) 最初診斷日期,新輔助－術前診斷,＊,False,X(8),8,date,,False,,,[],QBC-D001-DIAGTYPE,若收案類別「DIAG_TYPE」為「2」時必填 臨床或病理上診斷為癌症的開始日期 固定8碼，西元年（YYYYMMDD），例如1980年12月6日，則填寫：19801206
D002,(新輔助) 最初診斷院所,新輔助－術前診斷,△,False,X(1),1,code,"1,2",False,,,[],,1：本院 2：他院
D003,(新輔助) 組織學分類,新輔助－術前診斷,△,False,X(1),1,code,"0,1,2,3,4,5,6,7,8",False,,,[],,0：No cancer 1：Intraductal ca (DCIS) 2：Invasive cancer with no special type (IDC) 3：Invasive lobular ca (ILC) 4：Mucinous ca 5：Tubular ca 6：Invasive papillary ca 7：Metaplastic carcinoma 8：Others
D004,(新輔助) 腫瘤組織分級,新輔助－術前診斷,△,False,X(1),1,code,"X,1,2,3",False,,,[],QBC-D004-HISTOLOGY,※若(新輔助) 組織學分類「D003」為「0、1」，不需填寫。 X：無法評估等級(無法確定分級) 1：分化良好(低度惡性) 2：中度分化(中度惡性) 3：分化差(高度惡性)
D005,(新輔助) 臨床期別 T,新輔助－術前診斷,△,False,X(5),5,code,"T0,Tis,T1,T2,T3,T4,Tx",False,,,[],,T0：No evidence of primary tumor Tis：(DCIS)*Ductal carcinoma in situ T1：腫瘤小於等於2公分 T2：腫瘤大於2公分，小於等於5公分 T3：腫瘤大於5公分 T4：腫瘤已侵犯至胸壁或是皮膚(潰瘍或結節)，發炎性乳癌 Tx：未知
D006,(新輔助) 臨床期別 N,新輔助－術前診斷,△,False,X(5),5,code,"N0,N1mi,N1,N2,N3,Nx",False,,,[],,N0：無區域淋巴結轉移（影像學或臨床檢查） N1mi：微小轉移(0.2-2mm) N1：轉移至同側可移動的 I、II 區腋窩淋巴結 N2：轉移至同側 I、II 區腋窩淋巴結，臨床表現為固定或 融合；或轉移至同側內乳淋巴結，但無腋窩淋巴結轉移 N3：轉移至同側鎖骨下（III 區腋窩）淋巴結，伴或不伴 I、II 區腋窩淋巴結受累；或轉移至同側內乳淋巴結， 伴隨 I、II 區腋窩淋巴結轉移；或同側鎖骨上淋巴結 轉移，伴隨或不伴隨腋窩或內乳淋巴結受累 Nx：未知
D007,(新輔助) 臨床期別 M,新輔助－術前診斷,△,False,X(5),5,code,"M0,M1,Mx",False,,,[],,M0：遠端器官沒有癌細胞轉移 M1：遠端器官有癌細胞轉移，例如腦、肝、肺等 Mx：未知
D008,(新輔助) 癌症臨床分期：TNM 計算結果,新輔助－術前診斷,△,False,X(20),20,string,,False,,,[],QBC-D008-TNM,"預設為空白，由系統自動計算「D005」、「D006」、「D007」三欄英文代號值合併結果，若有對應下列的Stage，則由系統代入其對應的Stage，若無任何對應的Stage，則需自行填寫，不能空白。 e.g.「D005」填入[T4]，「D006」填入[N0]，「D007」填入[M0]，合併計算結果為［T4N0M0］，其所對應的Stage為「StageⅢB」，則系統將此欄位值自動代入［StageⅢB］ e.g.「D005」填入[T4]，「D006」填入[Nx]，「D007」填入[M0]，合併計算結果為［T4NxM0］，沒有對應的Stage則需由使用者自行填入值StageⅠ~Ⅳ。 ==================== Stage ================= Stage 0： ['TisN0M0'] StageⅠA： ['T1N0M0'] StageⅠB： ['T0N1miM0', 'T1N1miM0'] StageⅡA： ['T2N0M0', 'T0N1M0', 'T1N1M0'] StageⅡB： ['T3N0M0', 'T2N1M0'] StageⅢA： ['T3N1M0', 'T3N2M0', 'T0N2M0', 'T1N2M0', 'T2N2M0'] StageⅢB： ['T4N0M0', 'T4N1M0', 'T4N2M0'] StageⅢC： ['anyTN3M0'] StageⅣ： ['anyTanyNM1'] Stage X： ['TxNxMx', 'TxNxM0']"
D009,(新輔助) 遠端轉移部位,新輔助－術前診斷,△,False,X(30),30,code-list,"1,2,3,4,5,6,7,8,9,10,11,12",True,,,[],QBC-D009-STAGE4,"填入代碼，可複選 ※「D008」滿足「StageⅣ」才可選擇。 ※ 複選以逗點相隔。 e.g. 1,5,10,11,12 (以半形英文逗號「,」連接數字) 1：遠端淋巴 2：皮膚 3：骨 4：肝 5：肺 6：腦 7：骨髓 8：胸膜 9：腹膜 10：腎上腺 11：對側腋下淋巴 12：其他"
D010,(新輔助) 遠端轉移部位：其他,新輔助－術前診斷,△,False,X(200),200,string,,False,,,[],QBC-D010-OTHER,※「D009」為[12:其他]，此欄位為必填。 內容自訂，文字格式
D011,(新輔助) 術前腋下淋巴檢驗：未檢驗,新輔助－術前診斷,△,False,X(1),1,code,1,False,,,[],QBC-D011-D012-XOR,※與術前腋下淋巴檢驗：檢驗方式「D012」擇一填寫 ※ 若此欄位有填寫，則不需填寫「D012」、「D013」 1：未檢驗
D012,(新輔助) 術前腋下淋巴檢驗：檢驗方式,新輔助－術前診斷,△,False,X(1),1,code,"1,2",False,,,[],QBC-D011-D012-XOR,※與術前腋下淋巴檢驗：未檢驗「D011」擇一填寫 1：細針穿刺 2：粗針切片
