cancer_group,source_field,source_code_system,source_value_set,source_code,source_display,target_system,target_version,target_code,relationship,review_status,reviewer,evidence_reference,decision_date,notes
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,309,KPS=30（ECOG 未評估）：嚴重傷殘，尚未有死亡的危險。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,403,KPS=40，ECOG PS=3：傷殘，需要特別照顧及幫助。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,409,KPS=40（ECOG 未評估）：傷殘，需要特別照顧及幫助。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,502,KPS=50，ECOG PS=2：需要考慮別人幫助，經常給予醫療照顧。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,503,KPS=50，ECOG PS=3：需要考慮別人幫助，經常給予醫療照顧。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,509,KPS=50（ECOG 未評估）：需要考慮別人幫助，經常給予醫療照顧。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,602,KPS=60，ECOG PS=2：有時需要別人幫助，但能照顧自己大部分需要。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,609,KPS=60（ECOG 未評估）：有時需要別人幫助，但能照顧自己大部分需要。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,701,KPS=70，ECOG PS=1：可以自我照顧，但無法從事正常活動。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,702,KPS=70，ECOG PS=2：可以自我照顧，但無法從事正常活動。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
breast,KPSECOG,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/CodeSystem/tcr-breast-kpsecog,https://erichuang777777.github.io/TW-Breast-Cancer-FHIR-IG/ValueSet/tcr-breast-kpsecog-vs,709,KPS=70（ECOG 未評估）：可以自我照顧，但無法從事正常活動。,,,,,not-started,,,,Do not publish as ConceptMap until reviewed.
